ds,y,TOTAL_SOLAR_IRRADIANCE,AVG_CLOUD_COVER_TOTAL
2023-11-18,0.0,0.00,94.0000
2023-11-19,289.341,3269.64,72.6800
2023-11-20,289.043,1226.54,64.9600
2023-11-21,247.98,559.11,86.1600
2023-11-22,273.985,6023.76,46.5200
2023-11-23,246.545,4695.56,51.1200
2023-11-24,276.83,2230.40,83.1600
2023-11-25,282.61,2161.63,86.4400
2023-11-26,0.0,5978.95,39.0400
2023-11-27,251.765,4803.15,41.8400
2023-11-28,222.765,6106.75,34.7200
2023-11-29,201.69,5828.45,26.6800
2023-11-30,194.735,2215.76,81.4000
2023-12-01,285.937,2892.02,71.2400
2023-12-02,268.042,6027.18,26.6000
2023-12-03,272.904,5933.95,23.4000
2023-12-04,241.708,4824.82,47.6800
2023-12-05,257.508,4617.52,48.1600
2023-12-06,255.635,2522.87,75.4000
2023-12-07,232.616,1635.73,77.5200
2023-12-08,248.718,3608.15,49.4000
2023-12-09,270.929,5884.34,20.8000
2023-12-10,243.589,5889.49,12.6400
2023-12-11,268.63,5756.92,18.9200
2023-12-12,278.921,5806.88,16.4000
2023-12-13,240.892,6074.05,14.9600
2023-12-14,286.898,6069.97,13.1600
2023-12-15,262.669,3693.92,56.8400
2023-12-16,182.597,1429.24,79.2800
2023-12-17,249.321,3754.60,45.4400
2023-12-18,129.174,2888.85,70.4800
2023-12-19,219.914,5012.46,62.8000
2023-12-20,173.461,1400.04,87.6800
2023-12-21,126.574,623.00,94.9200
2023-12-22,205.506,4767.83,65.8400
2023-12-23,200.88,5021.43,42.9200
2023-12-24,259.097,5893.06,37.9200
2023-12-25,280.373,5791.36,35.0800
2023-12-26,206.811,4561.08,38.9200
2023-12-27,278.146,5661.75,28.6800
2023-12-28,239.619,5754.46,21.3200
2023-12-29,277.486,5983.33,12.4000
2023-12-30,276.048,5370.98,43.8400
2023-12-31,216.154,6055.47,36.1600
2024-01-01,256.526,5542.36,38.7600
2024-01-02,241.833,5295.79,39.7600
2024-01-03,268.141,5786.79,31.8000
2024-01-04,282.75,5332.88,23.6800
2024-01-05,270.86,5954.91,38.9200
2024-01-06,278.647,5211.65,39.6800
2024-01-07,254.226,6053.80,35.2000
2024-01-08,264.407,4753.66,29.0400
2024-01-09,244.247,5962.40,35.7200
2024-01-10,288.918,6190.99,17.1200
2024-01-11,286.473,6157.38,30.9200
2024-01-12,278.563,6135.62,26.0000
2024-01-13,283.189,5863.28,30.5600
2024-01-14,286.322,5270.89,31.9600
2024-01-15,277.103,4124.72,61.3200
2024-01-16,237.32,2314.93,89.9600
2024-01-17,285.252,3411.22,46.8800
2024-01-18,266.627,2740.05,69.6000
2024-01-19,218.21,2953.39,68.4400
2024-01-20,263.247,4800.83,42.6400
2024-01-21,278.854,3912.90,48.1200
2024-01-22,205.131,4702.59,34.3200
2024-01-23,216.922,5219.72,46.2400
2024-01-24,294.531,5819.93,45.8400
2024-01-25,310.302,4744.52,58.4000
2024-01-26,312.479,712.57,88.3600
2024-01-27,300.607,4005.20,75.6000
2024-01-28,287.237,5314.17,59.0400
2024-01-29,320.703,5544.33,39.3600
2024-01-30,312.531,6254.68,30.2800
2024-01-31,298.684,4961.27,43.9200
2024-02-01,306.277,3424.11,66.4800
